s,l,n,m,metric,q,d_L,d_dec,d_bnd,n_sdp,tau,c,delta,alpha,r,status,runtime_s,solver,solver_status,c_floor,cond_P
0,3,3,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-1.2065413818171992e-05,1.2065412083181145e-05,certified,77.51700549945235,mosek,optimal,,
1,3,3,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-5.099978466251449e-06,5.099978707588896e-06,certified,83.67102270014584,mosek,optimal,,
2,3,3,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-2.2064555775111446e-06,2.2064558692277734e-06,certified,22.532920399680734,mosek,optimal,,
0,1,4,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.0009267666690207857,0.0009267666685083852,certified,19.734798301011324,mosek,optimal,,
1,1,4,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.00027369067406202163,0.0002736906756603865,certified,20.414788400754333,mosek,optimal,,
2,1,4,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-9.557794321431752e-05,9.557792787052377e-05,certified,22.74128109961748,mosek,optimal,,
0,2,4,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-2.5594852193390622e-05,2.559485177838515e-05,certified,69.82361559942365,mosek,optimal,,
1,2,4,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-1.0120842829443312e-05,1.0120842863793696e-05,certified,20.64593709819019,mosek,optimal,,
2,2,4,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-4.152106101023836e-06,4.152105463478772e-06,certified,19.92295510135591,mosek,optimal,,
0,3,4,4,q,2,2,10,0,67295,0.0001,1.0,1/250,-8.978465947295546e-07,1e-06,certified,306.2749827001244,mosek,optimal,,
1,3,4,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-4.026778152560692e-07,0.0,certified,80.1936201993376,mosek,optimal,,
2,3,4,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-1.805011406274332e-07,0.0,certified,17.979347299784422,mosek,optimal,,
0,1,2,2,q,1,2,8,6,1671,0.0001,1.0,1/250,-0.04823628253278145,0.048236282533273694,certified,2.4627417996525764,mosek,optimal,,
1,1,2,2,q,1,4,6,4,805,0.0001,1.0,1/250,-0.02006987060924531,0.020069870606194102,certified,2.3670135997235775,mosek,optimal,,
2,1,2,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.012766681494799037,0.012766681495844581,certified,1.2236662004143,mosek,optimal,,
0,2,2,2,q,1,2,6,6,1314,0.0001,1.0,1/250,-0.0347831764754582,0.03478317647168562,certified,1.869328498840332,mosek,optimal,,
1,2,2,2,q,1,2,8,4,1155,0.0001,1.0,1/250,-0.020312499999999956,0.0203125,certified,1.6112494990229607,mosek,optimal,,
2,2,2,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.013836236798032642,0.013836236797623816,certified,1.3386429008096457,mosek,optimal,,
0,3,2,2,q,1,2,6,6,1314,0.0001,1.0,1/250,-0.024167098864985193,0.024167098866082856,certified,2.0931092016398907,mosek,optimal,,
1,3,2,2,q,1,2,8,6,1671,0.0001,1.0,1/250,-0.016474118255578096,0.016474118255365156,certified,2.888374300673604,mosek,optimal,,
2,3,2,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.012065665824863125,0.012065665823372871,certified,1.4866430014371872,mosek,optimal,,
0,1,3,2,q,1,2,6,4,798,0.0001,1.0,1/250,-0.03247520651803554,0.03247520651812992,certified,1.3669956997036934,mosek,optimal,,
1,1,3,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.017139080676950275,0.017139080676275162,certified,1.500272199511528,mosek,optimal,,
2,1,3,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.010990378803979767,0.010990378803621477,certified,1.5006170012056828,mosek,optimal,,
0,2,3,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.020642507677719524,0.02064250767684925,certified,1.8716225009411573,mosek,optimal,,
1,2,3,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.013876947200496481,0.013876947198057859,certified,1.4790966007858515,mosek,optimal,,
2,2,3,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.009963798601293594,0.009963798602294864,certified,1.494276100769639,mosek,optimal,,
0,3,3,2,q,1,2,8,4,1155,0.0001,1.0,1/250,-0.013778028934440134,0.0137780289349661,certified,1.8270018994808197,mosek,optimal,,
1,3,3,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.010338378957681083,0.010338378957828803,certified,1.8027354013174772,mosek,optimal,,
2,3,3,2,q,1,2,10,2,1453,0.0001,1.0,1/250,-0.00803345959595958,0.008033459595959596,certified,2.3185504991561174,mosek,optimal,,
0,1,4,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.02301603874656713,0.023016038746269864,certified,1.346433999016881,mosek,optimal,,
1,1,4,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.013591341882112473,0.013591341880689443,certified,1.6174267996102571,mosek,optimal,,
2,1,4,2,q,1,2,6,2,525,0.0001,1.0,1/250,-0.009007966665385836,0.009007966661559164,certified,1.1282337009906769,mosek,optimal,,
0,2,4,2,q,1,2,6,4,798,0.0001,1.0,1/250,-0.013075920939863983,0.013075920941243265,certified,1.4529924001544714,mosek,optimal,,
1,2,4,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.009474765794906026,0.009474765795130308,certified,1.3833367004990578,mosek,optimal,,
2,2,4,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.007154242676989442,0.007154242675640153,certified,1.265829099342227,mosek,optimal,,
0,3,4,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.008520006710788008,0.008520006713330898,certified,1.2217565011233091,mosek,optimal,,
1,3,4,2,q,1,2,6,4,798,0.0001,1.0,1/250,-0.0067869074056413625,0.006786907403768267,certified,1.1175228003412485,mosek,optimal,,
2,3,4,2,q,1,2,8,2,882,0.0001,1.0,1/250,-0.0055269721116180115,0.0055269721122486355,certified,1.1735688988119364,mosek,optimal,,
0,1,2,3,q,1,4,6,4,3887,0.0001,1.0,1/250,-0.016831563563616328,0.016831563563667887,certified,14.681720899417996,mosek,optimal,,
1,1,2,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.004070314601394799,0.004070314600699113,certified,5.334882199764252,mosek,optimal,,
2,1,2,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.0019574328891557046,0.001957432886000688,certified,5.302261300384998,mosek,optimal,,
0,2,2,3,q,1,4,6,4,3887,0.0001,1.0,1/250,-0.004050814268761515,0.00405081426806189,certified,13.990229399874806,mosek,optimal,,
1,2,2,3,q,1,2,8,2,5282,0.0001,1.0,1/250,-0.001783264746227716,0.0017832647462277093,certified,10.286409201100469,mosek,optimal,,
2,2,2,3,q,1,2,8,2,5282,0.0001,1.0,1/250,-0.0009183530466621791,0.0009183530471133004,certified,9.69552900083363,mosek,optimal,,
0,3,2,3,q,1,4,6,4,3887,0.0001,1.0,1/250,-0.0010099935844955195,0.0010099935672425757,certified,12.10111939907074,mosek,optimal,,
1,3,2,3,q,1,2,8,2,5282,0.0001,1.0,1/250,-0.0005788920011559244,0.0005788920007106398,certified,9.559455800801516,mosek,optimal,,
2,3,2,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.0003319890535428867,0.0003319890563031944,certified,5.3572140000760555,mosek,optimal,,
0,1,3,3,q,1,2,6,6,8196,0.0001,1.0,1/250,-0.006326205190666038,0.0063262051909668444,certified,23.400213399901986,mosek,optimal,,
1,1,3,3,q,1,2,8,2,5282,0.0001,1.0,1/250,-0.002347736150815803,0.002347736149553186,certified,9.793682400137186,mosek,optimal,,
2,1,3,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.0011084045364151177,0.0011084045418809367,certified,4.756910098716617,mosek,optimal,,
0,2,3,3,q,1,2,8,2,5282,0.0001,1.0,1/250,-0.0010136312224144264,0.0010136312167929624,certified,9.395696299150586,mosek,optimal,,
1,2,3,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.0005233106098669846,0.0005233106108760932,certified,5.039968499913812,mosek,optimal,,
2,2,3,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.0002806089225602004,0.00028060892135934977,certified,5.4765239004045725,mosek,optimal,,
0,3,3,3,q,1,2,8,2,5282,0.0001,1.0,1/250,-0.00017380769276152309,0.00017380769201276976,certified,11.724394600838423,mosek,optimal,,
1,3,3,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.00010468071193455038,0.00010468070797994783,certified,5.818307699635625,mosek,optimal,,
2,3,3,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-6.191665773820894e-05,6.191665664206511e-05,certified,5.952281000092626,mosek,optimal,,
0,1,4,3,q,1,2,8,2,5282,0.0001,1.0,1/250,-0.0028751825897095715,0.002875182590215688,certified,12.978594899177551,mosek,optimal,,
1,1,4,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.0012345155706989604,0.0012345155718509256,certified,5.670954799279571,mosek,optimal,,
2,1,4,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.0005978860980873635,0.0005978860989613598,certified,5.652555899694562,mosek,optimal,,
0,2,4,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.00028483113636167275,0.00028483113725852034,certified,4.599661700427532,mosek,optimal,,
1,2,4,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-0.00015682071206092585,0.00015682071129611557,certified,4.934067299589515,mosek,optimal,,
2,2,4,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-8.748674570460311e-05,8.748674443266172e-05,certified,5.466759299859405,mosek,optimal,,
0,3,4,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-3.337535938166222e-05,3.337535757389143e-05,certified,4.213703298941255,mosek,optimal,,
1,3,4,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-2.0464678127284096e-05,2.046467742821476e-05,certified,4.547326499596238,mosek,optimal,,
2,3,4,3,q,1,2,6,2,2312,0.0001,1.0,1/250,-1.2378489023728132e-05,1.2378489650963727e-05,certified,5.6609592996537685,mosek,optimal,,
1,3,2,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-5.881491771710378e-05,5.881491696459968e-05,certified,92.70662730000913,mosek,optimal,,
2,3,2,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-2.4877211558867636e-05,2.4877213183501433e-05,certified,82.38857949897647,mosek,optimal,,
0,1,3,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-0.002030289586976968,0.002030289585457678,certified,25.895992301404476,mosek,optimal,,
1,1,3,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-0.0005543466874004411,0.0005543466871998304,certified,28.44550280086696,mosek,optimal,,
2,1,3,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-0.0001972873843266482,0.0001972873842437717,certified,83.49956689961255,mosek,optimal,,
0,2,3,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-0.00014163723053421372,0.00014163722952736745,certified,92.78644799999893,mosek,optimal,,
1,2,3,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-5.2562462137708014e-05,5.2562471002194484e-05,certified,22.417891699820757,mosek,optimal,,
2,2,3,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-2.102379642874859e-05,2.102379578325728e-05,certified,91.16401319950819,mosek,optimal,,
0,3,3,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-1.0341783272727407e-05,1.0341783000952738e-05,certified,78.67717530019581,mosek,optimal,,
1,3,3,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-4.4624811579712565e-06,4.462482791550735e-06,certified,26.687884099781513,mosek,optimal,,
2,3,3,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-1.9612938466707723e-06,1.9612919422281847e-06,certified,90.91932670027018,mosek,optimal,,
0,3,4,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-8.080619352423948e-07,1e-06,certified,91.4372869990766,mosek,optimal,,
1,3,4,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-3.6607074113330545e-07,0.0,certified,25.820065800100565,mosek,optimal,,
2,3,4,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-1.6545937890265026e-07,0.0,certified,86.37814440019429,mosek,optimal,,
0,1,2,2,q,0,4,6,4,805,0.0001,1.0,1/250,-0.024118141266390725,0.024118141266636847,certified,2.6331162992864847,mosek,optimal,,
1,1,2,2,q,0,4,12,4,2593,0.0001,1.0,1/250,-0.01337991373949686,0.013379913737462733,certified,4.965036200359464,mosek,optimal,,
2,1,2,2,q,0,2,8,6,1671,0.0001,1.0,1/250,-0.009575011121099264,0.009575011123288308,certified,2.3838873002678156,mosek,optimal,,
0,2,2,2,q,0,2,6,2,525,0.0001,1.0,1/250,-0.023188784316972105,0.02318878431445708,certified,0.8158233985304832,mosek,optimal,,
1,2,2,2,q,0,4,8,6,1678,0.0001,1.0,1/250,-0.015234374999999967,0.015234375,certified,3.0613088998943567,mosek,optimal,,
